sample_id,text,annotator_layer1,annotator_layer2,annotator_speaker_role,annotator_confidence,annotator_notes
G152,Arti dari efek candu diatas narkoba yaitu si pemain judol nonton ini pun akan tetap bermain😂,,,,,
G153,"Meskipun macet, memangnya apa yg diurus prabowo sehingga memerlukan akses cepat? Kayak yg diurus masalah PLT nuklir, kebocoran data militer, atau ngurus tender pembuatan rudal jelajah anti kapal ke perusaan swasta lokal aja.

Kalau cuma ngurus MBG, kayaknya naik gerobak juga",,,,,
G154,Intinya kalo miskin jangan judi,,,,,
G155,Dark joke ending Semoga judol di berantas pemerintah Pdhl pemerintah jg yg memfasilitasi,,,,,
G156,"Bukti nyata, kongkrit!! Kalo masih ada yg tergiur nyoba/lanjut main judol brati otaknya udah kronis",,,,,
G157,"Hati-Hati! Modus Penipuan Baru dengan Mengganti QRIS Kotak Amal Pakai Rekening Pribadi.
https://t.co/rxzkWXsDyP #QRIS #Masjid #blokm #penipuan #EksplisitKreatifMedia #EksplisitOfficial",,,,,
G158,Kabar Terbaru Iman Mahlil yang Tempel QRIS Kotak Amal Palsu di Masjid Jakarta https://t.co/JBHocPutws,,,,,
G159,temen gua nonton ini sambil buy scatter.😂,,,,,
G160,Aku sering nemu iklan judol deepfake nya Raffi Ahmad 😅😅,,,,,
G161,key logger itu,,,,,
G162,Fakta Penangkapan Pelaku Pemasang 'QRIS' Palsu di Kotak Amal Masjid yang Tersebar di Jakarta https://t.co/3OPc5Yejl8,,,,,
G163,"lagi di fase ini. capek bgt ngasih tau tetangga yg lagi kena love scam..udah abis 20jt lebih.. tp ga sadar2. bandel bgt dibilanginnya، ga percaya bjir lah.. 😞😣 scammer mengatasnamakan Dato Ray Imran. seorang Duda kaya raya dari Malaysia yg dgn bujuk rayunya,bilang mau menikahi tetanggaku itu dan malangnya tetanggaku percaya aja. padahal wa ga bisa divideo call..berkali Kali minta di tf dengan alasan mau ngirim hadiahlah, surprise lah, apalah..ketahan di bea cukailah.. aduh cape bgt ngadepin emak emak yg gaptek tapi sok merasa paling benar & paling ngerti semuanya. mulut sampai berbusa sudah keluarga & saudara menasehatinya. nyerah",,,,,
G164,Ternyata penyerangnya masih pakai metode manual dalam memasukan OTP nya. Kirain mencuri data dari korban auto kesedot semua.😂 seperti halnya sistem auto debit...,,,,,
G165,Kalau aplikasi slot up 777 gimana ya?,,,,,
G166,Musuh Penipu & oknum Polis*i ni 🤣🤣🤣,,,,,
G167,Channel Mr Bert mngupas ttg kjahatan online,,,,,
G168,Untung gw sadar,,,,,
G169,"Polisi Sebut Surat Tilang ETLE Via WA Format APK Penipuan, Warga Diminta Hati-hati https://t.co/ZXo7o5VAEI",,,,,
G170,"2️⃣ Layered Security Approach
Deteksi deepfake + face recognition + enkripsi bekerja sebagai sistem berlapis, bukan tunggal.
3️⃣ Privacy by Design
Struktur sistem sejak awal dirancang untuk minimisasi data, bukan eksploitasi data.
#InterLink #ITLG #ITL",,,,,
G171,"Pengacaranya kurang wawasan, padahal korban menginstall aplikasi yang tujuannya untuk monitor SMS masuk
Jika menginstall sama aja si korban ngasih akses buat baca pesan, mau gak install kan si pelaku bisa install dan kode OTP dapet dari aplikasi monitor",,,,,
G172,"Pihak BCA bisa cek kok itu saat transaksi yg pembobolan itu menggunakan perangkat apa, IP address apa, tinggal dicek aja apakah sama dgn yg punya korban. Bisa juga HP nya sudah terjangkit malware dan bisa dicloning jarak jauh. Suka download dari WA group bahkan penipu yg mengirim APK malware",,,,,
G173,"@jackon1el @jackon1el Selalu waspada terhadap pihak yg mengatasnamakan DANA dan jangan pernah bagikan PIN atau kode OTP ke siapa pun serta jangan klik link yg mencurigakan ya. Jika ada kendala lain terkait akun DANA, silakan dapat hubungi kami kembali ya. Kami siap membantu. Tks -DS- (2)",,,,,
G174,"Bikin konten yg bnr aja la,bru download dpt 5juta,blg aja suruh org download apk",,,,,
G175,Seorang pria misterius menempelkan QRIS palsu pada kotak amal di masjid di kawasan Jakarta Selatan. Polisi menyebut sudah mengantongi identitas pelaku. https://t.co/k5jFZ5XOct,,,,,
G176,Di 3 th ini sudah hampir 300 jt di puluhan situs judol rungkat... kenapa baru sekarang edukasi ini baru muncul 😭😭😭 mustinya 2 th yang lalu... btw harus menyandang pensiunan judol 🙏🙏,,,,,
G177,saya sudah dikasih kemenangan 3 jt tapi kalahnya sudah mencapai 8jt an.. kalo saya teruskan bermain.. maka akan ludes uang saya . hutang dimana2.. memang judol itu.. menang buat kita ketagian.. kalah buat kita penasaran... walaupun ujung2nya pasti kita kalah selama2nya..,,,,,
G178,Tadi gw install apk baju batik entah dari siapa aman² gw mah padahal udah login tuh apk,,,,,
G179,ada jasa hack wa orang gak,,,,,
G180,Tanggapan Lengkap Ditjen Pajak soal Keluhan Soimah hingga BI Blokir QRIS Palsu 12 Kotak Amal Masjid Al Azhar jadi artikel populer Money Senin. https://t.co/N1nfnu6SKi,,,,,
G181,"Terima kasih BRI terus melayani negeri, terus mengedukasi kita semua akan bahaya dari modus penipuan Soceng.",,,,,
G182,Bang mau nanya kalo kita cuma instal apk virusnya doang tapi kaga dikasi izin /tolak apakah masih ke sadap?,,,,,
G183,"Begini android memang tidak sebobrok itu, tapi lihat siapa sebenarnya mangsa apk malware ini? Yah jelas user android yg gaptek dan asal allow² izin aja. Jadi jgn suudzon apk malware ini sengaja dibuat utk nyerang android aja biar berpaling ke hp buah.",,,,,
G184,"@danawallet untung dana ingetin, bahaya bgt tuh qris palsu, thanks ya min👌",,,,,
G185,"Pas Mau ganti password nya,saya kan gak tau sandi nya karena udah di ganti Ama yang ngebajak,gimana Solusi nya?",,,,,
G186,"Assalamualaikum bang, minta tolong buat review apk kerja paruh waktu tiktok bang sekarang udh banyak sekali korban sana saya salah satunya.",,,,,
G187,"Sama ky saya.
Kemarin sy klik download dan install apk dari link wa dg tulisan undangan.
Tapi pas saya buka mencurigakan, lalu sy uninstall dan hapus file nya.

 Tapi 3 hari setelah kejadian saldo m-banking  masih aman s, cuma yg jadi kendala bingung apakah harus reset pabrik y hp nya, menurut bbrp tutor d yt si harus.

@pacekomputer
@bondanagung2238",,,,,
G188,Sebenarnya mah kita itu di permainkan secara psikologi aja sih sampe gak bisa berpikir jernih aku juga pernah ketipu sales mall sempat ilang ratusan ribu sebenarnya aku sadar ada yg gak beres tapi saat itu aku gak berdaya psikologis ku di permainkan setelah selesai baru bisa mikir jernih beruntung kaka temen ku lawyer jadi dia bantu ancam tuh sales penipu dengan pasal walhasil uangku kembali tapi di tahan 50 ribu gak papa buat pengalaman. Sejak saat itu kalau ke mall aku langsung kabur kalau ada sales yg pegang brosur dan mau nargetin kita.,,,,,
G189,"Saya dikirimin pesan WA dari nomor yg saya tdk kenal dan menawarkan bantuan, saya memang ada masalah terkait transaksi penarikan uang yg gagal dari sebuah aplikasi,,,, tapi sebelum dikirimin pesan itu ada telepon (misscall) dari nomor baru yg lain,,,, si pengirim pesan tadi meminta nomor yg menelpon saya sebelumnya itu, apakah itu modus juga ya?,,, Sy merasa bahwa aman saja saya memberinya nomor itu karena itu hanya nomor telpon bukan kode OTP, tetapi karena kwatir sy jadinya tidak memberikannya. Tetapi saya masih bimbang karena mungkin saja itu benar adanya dia mau membantu saya, karena memang saya ingin mendapatkan kembali uang saya di aplikasi itu. Mohon penjelasannya 🙏🙏🙏",,,,,
G190,Sayang.. bukti penipuan udh sy hps. Krn sy pikir mustahil bs di lacak..sedih rasanya ketipu byk .,,,,,
G191,"Lucu... Yg klik apk siapa, yg disalahkan siapa. Pengacaranya kurang pinter teknologi",,,,,
G192,"Setuju gw bang, menurut gw jga ini lebih ke social engineering sii, krna penyebab utamanya kelalaian sii pengguna, mau aja disuruh install, klo yg murni hacking mh gak bakal sesederhana itu",,,,,
G193,"Ga ada yang bilang bobrok, tapi lebih ke security yg lemah sampe memudahkan hacker buat ngelolosin hal kayak gini. Ya semua nya emg balik lagi ke user, user yg kasih akses data. Kalau di iOS ga bisa main asal install ipa file. Kalau android bisa install apk file dengan mudah. Tapi gimana kalau korbannya orang yg ga paham dan main install aja tanpa mencari tau ? Makanya pentingnya edukasi ke masyarakat soal bahaya menginstall aplikasi sembarangan, masalahnya edukasinya masuk atau ga ? Sekian terima kasih",,,,,
G194,Gw yakin msh banyak yg gak nyadar.padahal dh jls2x semua judol itu setinggan. Mao bnyk uang y u kerja keras bukan maen judol bro. #mantap buat bang Marsel,,,,,
G195,Kasus penyebaran QRIS palsu di Jakarta dan Tangsel memasuki babak baru. Tersangka Iman Mahlil akan segera diadili. https://t.co/HqT2GFcNX2,,,,,
G196,aaaaaaaa gue butuh jasa hack akun ff biar alin gabisa main ff lagi,,,,,
G197,Mantul booosssQu ❤,,,,,
G198,Makasih pak,,,,,
G199,"Beredar Klarifikasi Viral Penempel QRIS Kotak Amal Masjid
https://t.co/aQdzrkH9AF",,,,,
G200,"Tanteku pernah kena deep fake AI give away artis, transfer berkali-kali total 54 juta😢",,,,,
G201,"Makasih kak atas vodio nya, ini sgt sgt membuka sy secara pribadi sprt apa deepfake atau penipuan penipuan yg akan semakin canggih dg menggunakan AI, terutama bg para orang tua orang tua yg suka main medsos tp gaptek terutama akan AI, konten yg sgt bermanfaat sekali👍👍👍",,,,,
G202,"Terimakasih mas marchel sangat sangat sangat mengedukasi, Konten Luar Biasa❤❤❤",,,,,
G203,Habibi Katin selaku Sekretaris DKM Masjid Nurul Iman mengungkap QRIS ditempel sejak 6 April 2023. Jemaah ada yang tertipu infak melalui QRIS palsu itu. #newsupdate #update #news #text https://t.co/7IZjHRWYGC,,,,,
G204,Judi kasino doank jelas kalah menangnya 😂,,,,,
G205,"Sumpah Ai lama2 meresahkan apalagi kl korban nya org tua yang gaptek dan kurang paham sm media sosial, ngeri bgt bahkan di iklan youtube kadang ada website jualan yg pake suara AI😭😭😭",,,,,
G206,​@IpankDisini-tm6ir Si admin judol komen,,,,,
G207,Di kalangan buruh pabrik rata2 yah pada main judi online dan rokok 😅 gaji belasan juta juga abis buat rokok dan judi online.. Kalo mennah judi yah michat 😂,,,,,
G208,"Saksikan Pastikan Sahih

PENIPUAN AI SCAM

28 Mac 2026 (Sabtu) | 4:05 petang

'Yang sahih di RTM'
#RTM #BeritaRTM #MalaysiaMadani #TaatSetia #BersamaMALAYSIAKU #RancakkanMADANI #MADANIBekerja https://t.co/76Puoqa1BW",,,,,
G209,Berita populer Jabodetabek dimulai dari bos gelato bongkar siasat karyawan yang tilap uang pakai QRIS palsu sampai COO Miss Universe ditahan. https://t.co/7uPPWWhYC9,,,,,
G210,"info jasa hack ig yang beneran bisa balik dong, soalnya akunnya divonis gabisa balik ni #zonauang",,,,,
G211,"WA Eks Kadisdik Boyolali Diduga Diretas, Sebar APK Penipuan https://t.co/PZmbfLmKpG https://t.co/vHHFCkiEBd",,,,,
G212,"Seorang pria terekam kamera CCTV menipu toko helm di Cileunyi, Bandung, dengan modus QRIS palsu.
#newsupdate #update #news #videonews https://t.co/4qFNJkofkU https://t.co/aG91lK8nSs",,,,,
G213,Ya berantas tuntaskan penipuan atas nama bank BRI BCA dlln.,,,,,
G214,YouTube Uji Teknologi Deteksi Deepfake AI untuk Pejabat dan Jurnalis https://t.co/nA66H2SxJl https://t.co/QvCsUH03BC,,,,,
G215,Up stop judi biar Indonesia emas ❤,,,,,
G216,Bng di fb saya kok tidak ada bacaan tidak punya ke akses ke sini lagi gimana cara nya bng plisss😭,,,,,
G217,"Untuk rehabilitasi ada bang di rs jiwa, cuma ya ga khusus judol",,,,,
G218,"Memang itu polisi palsu mas, cuma ditambah lagi wajahnya deepfake",,,,,
G219,"Gak ada pengaruh sama jurusan IT atau bukan dek,,yang penting fungsi otak bisa di gunakan dengan baik gak mungkin tergiur sama judol dek😂",,,,,
G220,"@Raditama0210 Ngebayanginnya aja dah pelik. Kaan, kf21 blok 3 (gen 5) pastinya jadi lawan potensial bagi su57e user di negara lain karena turki lawan potensial russia, korsel lawan potensial russia dan korut. Kebocoran data strategis di indonesia kalo memiliki ketiganya tentu jd concern",,,,,
G221,SETIAP GUA LIAT IKLAN JUDOL SLOT DI MEDIA SOSIAL.... GUA LANGSUNG KOMEN DAN TIDAK LUPA KASIH LINK VIDEO PESULAP MERAH INI 😂😂😂😂😂😂😂 dan mudah mudahan aja banyak yang Nyadar dan Berhenti Dari Judol Slot ini SLOT itu bukan Judol Tapi Penipuan,,,,,
G222,Bisa belajar ilmu nya tidak bung.. Sy habis ketipu model shopping on line,,,,,
G223,"@cyalcill44 @bismillahyuk_ aku sempet baca di threads, katanya perusahaan pinjol punya akses ke BPJS, makanya bisa tau kontak keluarga",,,,,
G224,"Harusnya pemerintah itu merekrut orang"" yang pinter IT biar judol itu ke ban lisensinya",,,,,
G225,Sayang kurang komplit pembahasanya..cuma judol Game..yang Judol Angka tidak pernah di bahas..disemua narasumber,,,,,
G226,"Saya juga kak kl percaya pasti udh ketipu bnyk tp kayak give away trs tangkap gambar aja kena trs tiap tangkap gambar di fb 300 juta an dpt 6 tangkap udh brp gampngn bng5 nyari uang nya pdhl pengangguran di indonesia buanyak bngt bngt bngt jd gak percaya gt"" palg lwt tlpn sk di angkat blngn gak punya no rek ini hp juga punya pk kades nebeng saya tinggal di gunung..kdng blng ambil aja uang ny buat kamu saya sudah kaya ngapain kamu kasih..malu penipu ny sk di matiin sepihak..barusan di youtube tngkap gambar 30 jt😊😊😊 pinter"" bngt ya para penipu cari uang🥴🥴",,,,,
G227,"QRIS palsu ditempelkan di kotak amal yang tersebar di penjuru masjid. Tak tanggung-tanggung, sudah ada 50 stiker QRIS palsu yang ditempel. #newsupdate #update #news #text https://t.co/nMZXeequuG",,,,,
G228,"@nabillaaptrii biasanya modus ini ujungnya macem"",  bisa buat pinjol ilegal pake data kita, bikin rekening palsu, atau dijual ke pihak ketiga. yang paling bahaya kalo sampe ktp + selfie kekirim, itu cukup buat daftar pinjaman online atas nama kita tanpa kita tau. kalo udah terlanjur kirim,",,,,,
G229,"Berikut beberapa ""minus"" yg bikin Bitcoin maxi menghindari Ledger.👇

1. Ledger pernah terjadi kebocoran data!
Yupz, kalian ga salah baca: kebocoran data/data breach. Yg bocor bukan seed phrase pengguna, karena pihak Ledger pun ga tau seed phrase penggunanya. Tapi tetep aja,",,,,,
G230,Pelaku Penipuan Modus QRIS Palsu Kotak Amal Masjid Ditangkap di Kebayoran Lama https://t.co/IzkO8nnYI5,,,,,
G231,"Maaf mau nanya serius.
Kalo cuma buka chatnya doang aman gak ya? (Cuma buka chat doang, tidak klik atau download file .apk nya)

Soalnya kebanyakan sumber cuma bilang ""jangan klik blablabla"" udah. Gak dikasih tahu lagi apakah cuma buka/baca chatnya doang termasuk bahaya atau enggak.",,,,,
G232,"Pola judi begitu bos, di kasih menang trus di kasih kalah. Jalan satu2 nya kalau sudah menang berhenti",,,,,
G233,Tapi suara tiruan beda jauh dngn yg asli,,,,,
G234,si PALING iT. Harusnya skolah iT bisa bawa dampak positif buat teman² nya yg sesat bukan tertawa melihat teman sesat dan melarat. Apalagi sekolah iT. Contoh bg Marcel sekolah sulap bongkar metode judol depan netizen. Lah si paling IT justru ketawa karena hanya di omongin. Lawak ???,,,,,
G235,kalau file apk yang kita install dari babi ngepet ini kita hapus apakah data kita masih aman om.,,,,,
G236,Lagian kalau kita ga merasa ada yang mengirim paket apapun kenapa di tanggapin.tapibya namanya lagi apes bisa juga kena tipu,,,,,
G237,"masih terus bertebaran, aku cmn mau ngasih reminder, kalauuuuuu JASA HACK AKUN ITU GAADA YAAA temen-temen #zonauang https://t.co/NLI7NqgibJ",,,,,
G238,"Waspada! Modus Penipuan Baru Ganti Barcode QRIS Kotak Amal Masjid di Jaksel  
#MediaIndonesia #ReferensiBangsa #penipuan https://t.co/xKhVN8VRKy",,,,,
G239,"Gara gara slot , pekerja,an ku hancur",,,,,
G240,ya siapa suruh main slot gua main casino aja tembus 2 digit🤣,,,,,
G241,"Implementasi deteksi deepfake dan pengenalan wajah bukan sekadar soal keamanan teknologi. Ini tentang membangun kepercayaan digital di dalam ekosistem.

#InterLink #ITLG #ITL https://t.co/nmL7BvaMvL",,,,,
G242,"KTP-el itu bukan sekadar kartu biasa, lho! Di dalamnya ada cip canggih yang menyimpan data pribadi sensitifmu. Kemendagri mengingatkan masyarakat dan instansi untuk tidak sembarangan meminta, membagikan, atau memfotokopi KTP-el demi menghindari risiko kebocoran data. 
#JagaData https://t.co/tfQGFSQeuL",,,,,
G243,"@humaniesproject Bang, hati hati akun akun gadungan mengatasnamakan Humanies juga dan Qris palsu. Tp gw percaya ini sih.
 Stay safe...🙏👍",,,,,
G244,Pertanyaannya.. apakah para pemerintah.. para Mentri yang menangani. Judo.. APAKAH MEREKA DAPAT SUAP DARI BANDAR JUDI..??,,,,,
G245,Polisi mana polisi....tindak lanjut nya mana..,,,,,
G246,"@kegblgnunfaedh Jarang ke masjid, sekalinya ke masjid pengen sandal baru

Jarang ke masjid, sekalinya ke masjid pengen nyolong kotak amal.

Jarang ke masjid, sekalinya ke masjid nempelin qris palsu.

Dari kpn hari kok “ancamannya” cm mati/keranda, sekalian ky di atas gt lho klo mau roasting 🤣🤣",,,,,
G247,"KERUGIAN MENCAPAI RP 1,1 M, POLRI AMANKAN TERSANGKA ARISAN DAN INVESTASI BODONG 

Polri melalui Ditreskrimsus Polda Jawa Timur, berhasil mengamankan satu orang tersangka berinsial APK penipuan arisan dan investasi bodong. 

#KamtibmasCiptaKondusifitas
Pelayanan Wujudkan Keamanan https://t.co/Lqtdd4WVh9",,,,,
G248,Di endorse tanggo bang???,,,,,
G249,"Sama wkwk..udh beberapa bulan ga maen setelah dikasih menang 30 jt modal 1,5.. setelah liat vidio gw semakin kuat buat stop maen judol ❤️🔥",,,,,
G250,Hanya yg org yg cacat berfikir yg percaya Judi bikin kaya😂. Klo pun menang tetap g da keberkahan hidup,,,,,
G251,"Kalo youtuber banyak yang kasih edukasi kayak gini,saya rasa bandar bisa alih profesi",,,,,
G252,"ka kalo semisalnya akun konfirmasikan kata sandi knph yah ka, soalnya akun aku aneh bangt ka piles ka bantu 😞",,,,,
G253,Kalo belum mengerti tentang perbankan misal bikin mobile online atau soal tabungan lebih baik tanya2 .. rajin menanya salah satu memberantas penipuan .karna penipu menipu orang2 yg belum paham tentang perbankan..,,,,,
G254,Gw paling main slot depo 50 RB 😅😅😅😅 naik 150/200 gw tarik aja,,,,,
G255,Orang tua saya kena tipu gara2 buka apk undangan 77 juta saldo habis,,,,,
G256,"Ancaman serangan siber terhadap pelaku usaha di Indonesia tunjukkan tren peningkatan, dengan Kebocoran data dan serangan ransomware masih jadi ancaman utama. Serangan siber membayangi berbagai sektor industry domestik, mulai dari perbankan, manufaktur hingga layanan kesehatan",,,,,
G257,Semoga kita terhindar dari modus penipuan..semangat buat BRI,,,,,
G258,"hii mau nanya dong, akun fb kalau di hack bisa di balikin lg ga ya? kalau bisa ada yg buka jasa hack akun nya ga? :] #zonauang",,,,,
G259,"knp bisa kena pinjol, nih kena tipu jasa hack suruh cairin limit, udh malah gua ikutin akhirnya tau kena tipu, mau gamau ya harus lunasin padahal duit aja ga gue pake samsek😓",,,,,
G260,API judulnya itu kan link ke servernya.... Bisa ngak dibloked....gitu aja report.... Yg pasti stop main judol.... Lapor web judol baru ke komdigi.....,,,,,
G261,"Waspada! Ini Ciri Akun WA Dibajak, Bisa Rampok Rekening https://t.co/xsIwSfA3II",,,,,
G262,"😭Terimakasih bang seudah lihat ini saya sadar Bismillah stop udah cukup habis banyak ,,terimakasi sudah menyadarkan yukk semua yg masih main kita stopp judol",,,,,
G263,tugas utama ditahun 2025 1. Berantas Korupsi 2. Berantas Judol 3. Berantas / edukasi Perdukunan berkedok Agama,,,,,
G264,"Bukti real masyarakat kita masih SDM RENDAH tepatnya terjadi di daerah gue, kemarin gue ngopi di warkop ada beberapa anak muda & orang tua yang ngopi sambil main slot, gue tunjukin lah video ini eh malah disuruh stop sambil ngetawain & bilang “hari gini masih percaya pesulap” jujur gue emosi & berharap semoga pelaku judi ditangkap lalu diasingkan.",,,,,
G265,@Dospemz Mohom maaf mau tanya apakah disini komdigi akan bertanggung jawab apabila ada kebocoran data nasabah bca? Atau ini memang kesalahan dari pihak BCA?,,,,,
G266,Saya udah 2kali di bobol dengan jumlah yg sama dalam 2mingu ini.dan barusan pagi uang saya cek sore mau di ambil udah raip di BCA tlg BCA kembalikan uang saya .cuma uang receh an juga tilep.jahat banget .BCa.parah,,,,,
G267,"Sebelum melihat konten ini, saya selalu penasaran bagaimana supaya modal balik, tapi setelah konten ini mata saya jd terbuka untuk komitmen berhenti judol. Walaupun kalah hmpir 300 juta,. Saya ikhlas dunia akhirat harta itu habis asalkan saya stop judi",,,,,
G268,"Gw sekarang bukan takut dibidang kreatif bakalan pekerjaan bisa digantikan atau hilang dengan adanya AI generate deepfake gini,tapi takut beneran kayak dipake buat kriminal,apalagi kita hidup di negara Indonesia,yang regulasi AInya belum ada,hukumnya belum jelas, Instasi kita banyak yang cacad, keamanan data cyber kita masih sering kecolongan, ditambah SDM kita masih ada yang rada rada Kalo masih hidup di Indonesia gw gak bakal terus mikir positif tentang kemajuan AI",,,,,
G269,beli hapenya dari mana ? 2nd kayanya ini pasti.. bisa jadi sudah di tanam malware apk undangan mantan atau apk paket unknown dari kurir iblis,,,,,
G270,Mas dea kalo allow permission di website bkn d Apk bahaya gak ya,,,,,
G271,baru bulan kemarin Bapak juga hampir ketipu dia udah hampir ngasih kode OTP ke si penipu untung ketauan langsung gw ambil HPnya,,,,,
G272,Game win karnival aman gak bg?,,,,,
G273,Ini Cara Kenali QRIS Palsu biar Tak Tertipu https://t.co/vhJY0Myk1I,,,,,
G274,"Bang bongkar kecurangan togel, pliss",,,,,
G275,"@danawallet awas qris palsu gais, thanks min infonya mantul",,,,,
G276,Modus Pelaku Tempel QRIS Palsu: Ngaku Panitia Restorasi Masjid https://t.co/pb009A7XG4,,,,,
G277,"Hhaahah kalau iklan kita ga tau ya sob, intinya jangan coba coba pinjol sama judol dehh",,,,,
G278,Oh ternyata judi di apl playstore forexx😂,,,,,
G279,"Blokir 3,4 Juta Situs, Komdigi Catat Perputaran Duit Judi Online Turun 30 Persen 

https://t.co/sRmYquTA6n",,,,,
G280,"@beezyph @beezyph Hi Kak. Kami memahami kekhawatiran Kakak. Kami infokan bahwa layanan bantuan DANA di WhatsApp sudah tidak tersedia. Mohon Kakak selalu waspada terhadap modus penipuan yang mengatasnamakan DANA ya. Jangan pernah bagikan kode OTP, PIN, atau klik link sembarangan. Thx -AF-",,,,,
G281,"Semoga bang ronal trus di undang di channel channel podcast bahkan di Tv, agar semakin banyak orang yang paham akan bahayanya judol untuk mental, sosial dan ekonomi",,,,,
G282,kalau ga diinstall ga akan terjadi apa2 kan,,,,,
G283,"Ini (deepfake) objeknya bisa dipake seperti orang yang sudah meninggal, ya?",,,,,
G284,Menurut saya yg pantas dijadikan bjorka itu anda bro. Bukan yg virall kemarin.😆😁😆😆😆😆😆😇👍,,,,,
G285,"bukan deep fake itu. polisi palsu itu aja bahkan ga pake lencana polisi. sampean aja yg lagi ga fokus,mas.",,,,,
G286,kasian si marsel di tipu,,,,,
G287,"Nah bnr. Sya pake android sejak thn 2013 aman"" aja, selama g asal install apk, g asal ksh perizinan di hp.

Hrsnya aman kl spryi sya.",,,,,
G288,"@Anak__Ogi @meutya_hafid tanpa memihak siapapun, saya hanya sedikit salfok dgn komdigi ini berarti mereka punya power sebesar itu di ranah ITE ini yahh. tpi kok perihal kebocoran data, dn judol itu seperti hampir tdk ada langkah konkret utk mengatasinya yah",,,,,
G289,"ShinyHunters dilapor mengeluarkan amaran akhir kepada Rockstar untuk membayar wang tebusan sebelum Selasa, 14 April 2026, atau berdepan risiko kebocoran data secara besar-besaran di dark web.

#AWANInews #AWANI745

https://t.co/Dnyb0PTdlX",,,,,
G290,"Aku juga pernah kokk kuras dg bank yg sama mba, dan tidak ada kelanjutan setelah lapor polri.. Semangat mba semoga bisa tuntas",,,,,
G291,Ga harus masukin kode referral diawal pendaftaran berarti ya kak? Soalnya mau install apk ini cuma mau dpt cashback doang,,,,,
G292,"Jujur bg topiknya bagus, tapi saran aja kalo narsum baru ngejelasin sedikit gausah nyeletuk, jadi bukan nyaman malah pusing nontonnya, harus ada waktunya lah kalo mau nanya, saran aja.",,,,,
G293,Akun Twitter Presiden FIFA Diretas http://t.co/Alfn0Co8RO,,,,,
G294,"Beberapa hal yang kita bisa lakukan sekarang itu :
- mengenali ciri-ciri deepfake/face swap
- merendahkan pelaku dan bukan korban
- empati terhadap korban
- memiliki kesadaran kalo nyebarin fogil itu kelakuan freak no life!!! https://t.co/Oh0QcItrFT",,,,,
G295,ada yang buka jasa hack ig ga yaa????😭😭😭😭 perlu bgttt help (buat hack akun sndiri kok),,,,,
G296,Aslinya pengen gini juga tapi sadly aku parnoan sama penipu 😞 cara mereka sekarang nih pinter pinter bgt dan bikin makin susah bedain mana yg beneran kesulitan dan mana yg nipu. Mana aku orangnya terbilang naif juga pula 🥲 jd sasaran empuk bgt.,,,,,
G297,Bongkar trs bang kebusukan judol supaya masyarakat Indonesia tau,,,,,
G298,"Selama ini, kalau ada serangan siber skala besar (seperti ransomware di PDN atau kebocoran data), penanganannya seringkali belum optimal.

Kita punya BSSN, Komdigi, dan Polri, tapi tanpa UU KKS, belum ada ""komando tunggal"" yang jelas siapa berbuat apa saat krisis siber terjadi.",,,,,
G299,"Tapi tidak semua end user bisa memahami, atau bahkan bisa mengaplikasikan cara ini ke hapenya. Semoga kita semua terhindar dari hal pencurian data begini.",,,,,
G300,"Beberapa waktu lalu juga kan ada yang baru ditangkap terkait APK penipuan ini. Kalau mau baca-baca soal gimana mengenali APK tersebut bisa ke sini:

https://t.co/watfWAsDOR",,,,,
G301,capek ngasi tau orang candu judol.,,,,,
G302,Bahas tentang togel juga bang marssell,,,,,
G303,Ini baru konten pemberantas judi,,,,,
G304,ya ini kan yg di contohkan slot,,,,,
G305,percuma bang ente bocorin oknum judol....sekarang udah parah banget ada yang mencuri demi judol ada yang maling motor demi judol bahkan ada yang sampe durhaka sama orang tua demi judol.....yang bikin heran lagi mereka tidak makan babi tapi pas maen judol sambil baca bismilah 🗿,,,,,
G306,"@MediaKonsumenID @grok @ojkindonesia @bank_indonesia Kemungkinan kebocoran data internal nih

Dulu punya tmrw uob juga gitu beberapa kali ada request otp gitu kayak mau ada transaksi",,,,,
G307,"Judi itu hilang dengan sendiri nya, contoh si budi punya uang 5 jt. terus dibuat judi 5 jt.. kalah.. apakah dia bisa main lagi ? Tidak.. karena kehabisan uang... Berhenti dengan sendiri nya",,,,,
G308,Menteri Komunikasi dan Digital (Menkomdigi) Meutya Hafid mengatakan saat ini krisis deepfake semakin mengancam ketahanan negara. Meutya menyoroti besarnya dampak kejahatan siber di Indonesia dan mengungkap nilai kerugian akibat penipuan digital atau scam di Indonesia mencapai https://t.co/UZpib2ldrZ,,,,,
G309,"Mau berhenti godaannya memang tinggi. Iklan slot ga ada habisnya😅, harus tetap percaya bahwa slot adalah hoax dan jangan berharap uang yg telah hilang bakal balik",,,,,
G310,"Judi itu mainannya orang ""kaya"", Karena tidak ada orang ""kaya"" itu ""bodoh"", Mereka paham mereka tidak akan menggunakan ""uang"" mereka untuk hal2 yang ""merugikan""",,,,,
G311,"Saksikan Pastikan Sahih

""Penipuan AI Scam""

Sabtu | 28 Mac 2026 | 4 petang

'Yang sahih di RTM'
#RTM #BeritaRTM #MalaysiaMadani #TaatSetia #BersamaMALAYSIAKU #RancakkanMADANI #MADANIBekerja https://t.co/kWGg0NQUJg",,,,,
