sample_id,unified_id,platform,source_category,vector_hint,weak_layer1,weak_layer2,weak_speaker_role,lm_confidence
G254,UID037346,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.9464
G255,UID050664,YouTube,malware_apk,malware_apk,relevan,malware_apk,R1,0.8609
G256,UID054315,X,peretasan_pencurian_identitas,peretasan_pencurian_identitas,relevan,peretasan_pencurian_identitas,R2,0.759
G257,UID022977,YouTube,phishing_rekayasa_sosial,phishing_rekayasa_sosial,tidak_relevan,,,0.2761
G258,UID054788,X,peretasan_pencurian_identitas,peretasan_pencurian_identitas,relevan,peretasan_pencurian_identitas,R4,0.7585
G259,UID054610,X,peretasan_pencurian_identitas,phishing_rekayasa_sosial,relevan,phishing_rekayasa_sosial,R4,0.6302
G260,UID042467,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G261,UID055061,X,peretasan_pencurian_identitas,peretasan_pencurian_identitas,relevan,peretasan_pencurian_identitas,R3,0.759
G262,UID032777,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G263,UID042758,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G264,UID038685,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.7561
G265,UID054416,X,peretasan_pencurian_identitas,peretasan_pencurian_identitas,relevan,peretasan_pencurian_identitas,R2,0.759
G266,UID031531,YouTube,phishing_rekayasa_sosial,,tidak_relevan,,,0.0
G267,UID037953,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G268,UID002998,YouTube,deepfake_penipuan_ai,deepfake_penipuan_ai,relevan,deepfake_penipuan_ai,R2,0.9759
G269,UID004366,YouTube,penipuan_ewallet_qris,malware_apk,relevan,malware_apk,R2,0.8609
G270,UID052691,YouTube,malware_apk,malware_apk,relevan,malware_apk,R2,0.8608
G271,UID003009,YouTube,deepfake_penipuan_ai,phishing_rekayasa_sosial,relevan,phishing_rekayasa_sosial,R2,0.6302
G272,UID021634,YouTube,malware_apk,,tidak_relevan,,,0.0
G273,UID053768,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R2,0.8732
G274,UID038613,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.9997
G275,UID000285,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R2,0.8732
G276,UID053928,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R2,0.8732
G277,UID048189,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R3,1.0
G278,UID039962,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.7561
G279,UID001058,X,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.9997
G280,UID000058,X,phishing_rekayasa_sosial,phishing_rekayasa_sosial,relevan,phishing_rekayasa_sosial,R3,0.6302
G281,UID036778,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G282,UID051436,YouTube,malware_apk,,tidak_relevan,,,0.0
G283,UID003110,YouTube,deepfake_penipuan_ai,deepfake_penipuan_ai,relevan,deepfake_penipuan_ai,R2,0.9759
G284,UID009774,YouTube,peretasan_pencurian_identitas,peretasan_pencurian_identitas,relevan,peretasan_pencurian_identitas,R5,0.759
G285,UID049223,YouTube,deepfake_penipuan_ai,deepfake_penipuan_ai,relevan,deepfake_penipuan_ai,R2,0.9759
G286,UID043500,YouTube,judi_online_pinjol,phishing_rekayasa_sosial,tidak_relevan,,,0.2761
G287,UID052069,YouTube,malware_apk,malware_apk,relevan,malware_apk,R2,0.8608
G288,UID054460,X,peretasan_pencurian_identitas,judi_online_pinjol,relevan,peretasan_pencurian_identitas,R2,0.759
G289,UID054526,X,peretasan_pencurian_identitas,peretasan_pencurian_identitas,relevan,peretasan_pencurian_identitas,R2,0.759
G290,UID049689,YouTube,malware_apk,,tidak_relevan,,,0.0
G291,UID021349,YouTube,malware_apk,malware_apk,relevan,malware_apk,R2,0.8608
G292,UID039233,YouTube,judi_online_pinjol,,tidak_relevan,,,0.0
G293,UID054274,X,peretasan_pencurian_identitas,peretasan_pencurian_identitas,tidak_relevan,,,0.2642
G294,UID053488,X,deepfake_penipuan_ai,deepfake_penipuan_ai,relevan,deepfake_penipuan_ai,R2,0.9759
G295,UID054800,X,peretasan_pencurian_identitas,peretasan_pencurian_identitas,relevan,peretasan_pencurian_identitas,R4,0.7585
G296,UID001419,X,deepfake_penipuan_ai,phishing_rekayasa_sosial,relevan,phishing_rekayasa_sosial,R2,0.6302
G297,UID037236,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G298,UID054360,X,peretasan_pencurian_identitas,peretasan_pencurian_identitas,relevan,peretasan_pencurian_identitas,R5,0.759
G299,UID052005,YouTube,malware_apk,peretasan_pencurian_identitas,relevan,peretasan_pencurian_identitas,R2,0.7591
G300,UID053533,X,malware_apk,malware_apk,relevan,malware_apk,R2,0.8608
G301,UID044449,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G302,UID044053,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.9997
G303,UID036796,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.7561
G304,UID036541,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.7561
G305,UID044124,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G306,UID054349,X,peretasan_pencurian_identitas,phishing_rekayasa_sosial,relevan,peretasan_pencurian_identitas,R2,0.759
G307,UID044402,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.7561
G308,UID001435,X,deepfake_penipuan_ai,deepfake_penipuan_ai,relevan,deepfake_penipuan_ai,R2,0.9759
G309,UID040078,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R3,0.7561
G310,UID043334,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.7561
G311,UID053497,X,deepfake_penipuan_ai,deepfake_penipuan_ai,relevan,deepfake_penipuan_ai,R2,0.9759
G312,UID004927,YouTube,penipuan_ewallet_qris,malware_apk,relevan,malware_apk,R2,0.8608
G313,UID034473,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G314,UID041277,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.7561
G315,UID001406,X,deepfake_penipuan_ai,deepfake_penipuan_ai,relevan,deepfake_penipuan_ai,R2,0.9759
G316,UID025183,YouTube,phishing_rekayasa_sosial,phishing_rekayasa_sosial,relevan,phishing_rekayasa_sosial,R2,0.6986
G317,UID022206,YouTube,malware_apk,,tidak_relevan,,,0.0
G318,UID053653,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R2,0.8732
G319,UID052851,YouTube,malware_apk,,tidak_relevan,,,0.0
G320,UID001308,X,peretasan_pencurian_identitas,,tidak_relevan,,,0.0
G321,UID033014,YouTube,judi_online_pinjol,,tidak_relevan,,,0.0
G322,UID053033,YouTube,malware_apk,malware_apk,relevan,malware_apk,R2,0.8609
G323,UID041537,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G324,UID039706,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.7561
G325,UID051060,YouTube,malware_apk,phishing_rekayasa_sosial,relevan,phishing_rekayasa_sosial,R2,0.6302
G326,UID054827,X,peretasan_pencurian_identitas,peretasan_pencurian_identitas,relevan,peretasan_pencurian_identitas,R4,0.7585
G327,UID051952,YouTube,malware_apk,malware_apk,tidak_relevan,,,0.2626
G328,UID013823,YouTube,peretasan_pencurian_identitas,peretasan_pencurian_identitas,relevan,peretasan_pencurian_identitas,R3,0.7591
G329,UID054423,X,peretasan_pencurian_identitas,phishing_rekayasa_sosial,relevan,phishing_rekayasa_sosial,R3,0.6302
G330,UID042808,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G331,UID032428,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.7561
G332,UID052618,YouTube,malware_apk,malware_apk,relevan,malware_apk,R2,0.8608
G333,UID052869,YouTube,malware_apk,malware_apk,relevan,malware_apk,R2,0.8608
G334,UID039088,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G335,UID005413,YouTube,peretasan_pencurian_identitas,,tidak_relevan,,,0.0
G336,UID050455,YouTube,malware_apk,malware_apk,relevan,phishing_rekayasa_sosial,R2,0.6302
G337,UID053508,X,deepfake_penipuan_ai,deepfake_penipuan_ai,relevan,deepfake_penipuan_ai,R2,0.9998
G338,UID054483,X,peretasan_pencurian_identitas,peretasan_pencurian_identitas,relevan,peretasan_pencurian_identitas,R2,0.759
G339,UID001446,X,deepfake_penipuan_ai,deepfake_penipuan_ai,relevan,deepfake_penipuan_ai,R2,0.9759
G340,UID051209,YouTube,malware_apk,malware_apk,relevan,malware_apk,R2,0.8608
G341,UID031429,YouTube,phishing_rekayasa_sosial,,tidak_relevan,,,0.0
G342,UID019537,YouTube,peretasan_pencurian_identitas,,relevan,phishing_rekayasa_sosial,R2,0.427
G343,UID053652,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R3,0.8732
G344,UID010332,YouTube,peretasan_pencurian_identitas,phishing_rekayasa_sosial,relevan,phishing_rekayasa_sosial,R2,0.6302
G345,UID039461,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G346,UID044358,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.9997
G347,UID015399,YouTube,peretasan_pencurian_identitas,,tidak_relevan,,,0.0
G348,UID054934,X,peretasan_pencurian_identitas,peretasan_pencurian_identitas,relevan,peretasan_pencurian_identitas,R4,0.7585
G349,UID053796,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R2,0.8732
G350,UID049423,YouTube,deepfake_penipuan_ai,,tidak_relevan,,,0.0
G351,UID044474,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G352,UID001387,X,peretasan_pencurian_identitas,peretasan_pencurian_identitas,relevan,peretasan_pencurian_identitas,R3,0.7544
G353,UID040970,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G354,UID053823,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R2,0.8732
G355,UID001483,X,deepfake_penipuan_ai,deepfake_penipuan_ai,relevan,deepfake_penipuan_ai,R3,0.9759
G356,UID044576,YouTube,judi_online_pinjol,,tidak_relevan,,,0.0
G357,UID046901,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.7561
